objectid,pcon16cd,pcon16nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
43,E14000572,Blackpool North and Cleveleys,333059,443882,-3.01992989,53.88679123,25210375.7059596,29401.6909459689
44,E14000573,Blackpool South,332763,433883,-3.02223992,53.7969017,21875348.0006699,20788.6800700771
45,E14000574,Blaydon,417664,559658,-1.72588003,54.93130112,112188852.089838,60204.4348967573
46,E14000575,Blyth Valley,428115,577679,-1.56103003,55.09275055,71359452.9296028,38068.5389861508
47,E14000576,Bognor Regis and Littlehampton,494562,100500,-0.65960002,50.79634857,62917635.7127106,45906.7258818547
48,E14000577,Bolsover,447998,366869,-1.28298998,53.19675827,226755322.47315,98958.3016016772
49,E14000578,Bolton North East,372934,412475,-2.41053009,53.60813904,34588238.3324316,29449.0394245331
50,E14000579,Bolton South East,371679,406344,-2.42894006,53.55297089,36929416.6144247,30643.3966263281
51,E14000580,Bolton West,364518,408253,-2.53724003,53.5696907,72805711.1317046,45063.1900549589
52,E14000581,Bootle,333951,397251,-2.99641991,53.46784973,26109240.3269738,22135.4117711549
53,E14000582,Boston and Skegness,537976,351211,0.056495,53.04040146,708405033.559961,157469.547986621
54,E14000583,Bosworth,439538,301379,-1.41754997,52.60876846,292239507.780104,92814.3515287727
55,E14000584,Bournemouth East,411614,93655,-1.83675003,50.74237061,26552627.5072413,31096.8096168485
56,E14000585,Bournemouth West,406759,94023,-1.90555,50.74576187,27356772.3975902,24277.9541945573
57,E14000586,Bracknell,483647,165246,-0.79947001,51.38011169,73794701.5284889,41652.5524083708
58,E14000587,Bradford East,417427,433388,-1.73692,53.79652023,27631525.4982127,30267.0747953633
59,E14000588,Bradford South,415841,429295,-1.76119995,53.75978088,44875219.1290717,47713.0279157439
60,E14000589,Bradford West,412492,433844,-1.81182003,53.80075836,35822495.8403916,31864.2943719702
61,E14000590,Braintree,577253,232650,0.57864898,51.96406937,464805000.789815,113399.287641312
62,E14000591,Brent Central,521541,185236,-0.24833,51.55292892,19164370.6318257,22111.1860715064
63,E14000592,Brent North,518094,186649,-0.29754999,51.56636047,19954313.1941326,24297.9711247798
64,E14000593,Brentford and Isleworth,516568,177052,-0.32273,51.48041916,27260014.5054541,33537.2585100823
65,E14000594,Brentwood and Ongar,556779,200101,0.26618099,51.67779922,315691507.026079,86188.0205249043
66,E14000595,Bridgwater and West Somerset,302014,136702,-3.40143991,51.12118912,1085932739.31545,223808.134171536
67,E14000596,Brigg and Goole,476705,409463,-0.84302998,53.5761795,639497390.387929,185041.214028301
68,E14000597,"Brighton, Kemptown",534575,104472,-0.09068,50.82415009,39023906.5722624,38229.7287020675
69,E14000598,"Brighton, Pavilion",531231,107528,-0.13704,50.85237885,29386804.7798899,30129.6640604712
70,E14000599,Bristol East,362430,172547,-2.54204011,51.45064926,23072014.2346767,28082.8257937903
71,E14000600,Bristol North West,355048,178219,-2.64898992,51.50109863,46856951.54312,46073.5339900839
72,E14000601,Bristol South,358409,169601,-2.59956002,51.42388153,25224763.2891203,19741.8387554271
73,E14000602,Bristol West,359407,174253,-2.58574009,51.46577835,17043760.4769381,16873.5244598239
74,E14000603,Broadland,617274,321242,1.21757698,52.74512863,764898896.965226,238444.165218165
75,E14000604,Bromley and Chislehurst,542971,170358,0.054539,51.4142189,28267650.3004173,31219.3633353151
76,E14000605,Bromsgrove,399840,273736,-2.0037601,52.36169052,217804076.163313,90652.4626572226
